"rowname","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75"
"Ca",1,1564,0.465839093544322,0.125338958262759,0.44960928694154,0.453246788265178,0.0935581746339123,0.208563888652422,1.74005681818182,1.5314929295294,2.98225163331514,17.78969687125,0.00316933178697891,0.390023747751926,0.516941735760359
"Ti",2,1564,0.0641439477172878,0.044231596141749,0.0557201851214701,0.0602728756104245,0.0371527089477686,0,0.623894922960344,0.623894922960344,2.56143920867533,20.8386933444803,0.00111844398249248,0.0351852877999747,0.0881939971387298
"Fe",3,1564,4.24308210817457,4.51714575728512,2.79065154821636,3.41762446473547,3.25617035793745,0.142551674982181,31.7930253429634,31.6504736679812,1.97548273631172,5.05963916624269,0.114220940028623,0.945225806325867,6.1368589833018
"Br",4,1564,2.37699495660746,1.03547488205845,2.048145973803,2.34924271280043,1.31029878068825,0.588899966766368,4.48301961708833,3.89411965032196,0.226165226747294,-1.49106117954973,0.0261831078206846,1.45965418227439,3.43051392174169
"Sr",5,1564,0.631775674983969,0.36425281180984,0.595975166037996,0.592549087927696,0.214208719277466,0,3.96758780991736,3.96758780991736,3.64010312668206,21.2775938392117,0.00921052824250563,0.443614792943625,0.734466454993212
"Mo_inc",6,1564,77.4193458470279,4.16506479670811,78.1510768400381,77.9943752497581,4.06872395702953,54.8997820419676,82.8549980562742,27.9552160143066,-1.38672114082661,2.55530625285358,0.105318190273774,75.3714113625519,80.8843481501111
"Mo_coh",7,1564,11.6299935016432,0.515595013021193,11.7133108000481,11.6815771102595,0.408704829949386,8.73942590748421,13.3335460404569,4.59412013297268,-1.3388837721599,3.7440899513495,0.0130373802896158,11.3968334748213,11.9726926285057
"cps_sum_all",8,1564,100,6.43006998186337e-15,100,100,0,100,100,2.8421709430404e-14,-0.138040570816268,1.88125199808184,1.62591308149348e-16,100,100
"cps_sum_filtered",9,1564,97.0731029988477,0.312183529560764,97.0764338767043,97.0770833477364,0.313333461161228,95.9313986848452,98.1587821327338,2.2273834478886,-0.154224908058169,0.185386699510384,0.00789389984823402,96.869854864541,97.28921493779
"cps_sum_filtered_pc",10,1564,96.8311751296987,0.325342940005831,96.8355659833789,96.8341273590071,0.321352972681013,95.6291305742701,97.9926204672075,2.36348989293739,-0.125847430081617,0.149917947676475,0.00822664984392188,96.6188720411773,97.0522778992487
